0	48	1
1	48	1
2	49	1
2	50	1
2	51	1
3	49	1
3	52	1
4	50	1
4	52	1
4	51	1
5	52	1
5	51	1
6	53	1
6	49	1
6	50	1
7	53	1
7	49	1
7	50	1
7	52	1
7	51	1
8	54	1
8	55	1
8	56	1
9	55	1
9	57	1
9	58	1
10	57	1
10	56	1
11	54	1
11	55	1
11	56	1
12	59	1
12	60	1
12	61	1
12	62	1
13	60	1
13	63	1
14	60	1
14	61	1
14	63	1
14	64	1
15	61	1
15	62	1
15	65	1
16	54	1
16	57	1
16	60	1
16	61	1
16	62	1
16	63	1
16	66	1
16	67	1
17	59	1
17	61	1
17	63	1
17	68	1
18	62	1
18	63	1
19	59	1
19	61	1
20	69	1
20	70	1
20	71	1
21	72	1
22	73	1
22	72	1
22	68	1
22	74	1
22	56	1
23	73	1
23	75	1
23	72	1
24	49	1
24	73	1
24	68	1
24	74	1
24	76	1
24	77	1
24	78	1
24	79	1
25	54	1
25	68	1
26	73	1
26	80	1
26	68	1
26	74	1
27	73	1
27	72	1
27	56	1
28	81	1
28	82	1
28	83	1
29	48	1
29	59	1
29	60	1
29	61	1
29	62	1
29	82	1
29	56	1
29	66	1
29	67	1
29	65	1
29	84	1
29	64	1
30	81	1
30	66	1
30	67	1
31	61	1
31	82	1
31	66	1
31	65	1
31	84	1
31	83	1
32	83	1
33	51	1
33	57	1
33	85	1
33	86	1
33	79	1
34	57	1
34	85	1
34	87	1
34	86	1
35	57	1
35	85	1
35	86	1
35	79	1
36	83	1
36	87	1
36	86	1
36	79	1
37	57	1
37	85	1
37	87	1
38	88	1
38	77	1
38	78	1
38	89	1
38	79	1
39	88	1
39	78	1
40	88	1
40	77	1
40	78	1
40	79	1
41	88	1
41	89	1
41	79	1
42	88	1
42	77	1
42	78	1
42	79	1
43	89	1
43	79	1
44	67	1
44	83	1
44	90	1
44	79	1
44	91	1
45	90	1
45	79	1
46	55	1
46	70	1
46	90	1
47	57	1
47	60	1
47	72	1
47	90	1
