v500	v697	1.0
v500	v656	1.0
v500	v623	1.0
v500	v584	1.0
v500	v559	1.0
v500	v579	1.0
v500	v564	1.0
v500	v540	1.0
v500	v520	1.0
v500	v906	1.0
v500	v668	1.0
v500	v636	1.0
v500	v632	1.0
v500	v600	1.0
v500	v596	2.0
v500	v567	1.0
v500	v542	1.0
v500	v536	1.0
v500	v663	1.0
v500	v655	1.0
v500	v635	1.0
v500	v549	2.0
v500	v527	1.0
v500	v925	1.0
v500	v882	1.0
v500	v863	1.0
v500	v830	1.0
v500	v645	2.0
v500	v608	2.0
v500	v604	1.0
v500	v556	1.0
v500	v551	1.0
v500	v763	2.0
v500	v678	1.0
v500	v651	3.0
v500	v602	1.0
v500	v573	3.0
v500	v569	1.0
v500	v560	2.0
v500	v557	3.0
v500	v538	1.0
v500	v533	1.0
v500	v511	1.0
v500	v501	3.0
v500	v673	3.0
v500	v648	3.0
v500	v562	1.0
v500	v504	1.0
v500	v960	1.0
v500	v634	2.0
v500	v621	2.0
v500	v593	3.0
v500	v587	2.0
v500	v555	1.0
v500	v509	1.0
v500	v894	1.0
v500	v659	2.0
v500	v658	3.0
v500	v603	3.0
v500	v599	1.0
v500	v595	3.0
v500	v530	2.0
v500	v524	2.0
v500	v517	1.0
v500	v514	1.0
v500	v610	2.0
v500	v590	2.0
v500	v563	3.0
v500	v553	2.0
v500	v505	1.0
v500	v503	1.0
v500	v672	2.0
v500	v652	2.0
v500	v642	3.0
v500	v638	1.0
v500	v633	3.0
v500	v611	3.0
v500	v580	2.0
v500	v566	1.0
v500	v558	3.0
v500	v537	1.0
v500	v523	2.0
v500	v502	1.0
v500	v774	1.0
v500	v662	1.0
v500	v646	3.0
v500	v643	1.0
v500	v641	1.0
v500	v637	2.0
v500	v630	2.0
v500	v614	2.0
v500	v606	1.0
v500	v605	2.0
v500	v576	3.0
v500	v565	3.0
v500	v550	3.0
v500	v534	2.0
v500	v531	1.0
v500	v513	1.0
v500	v912	1.0
v500	v679	2.0
v500	v667	1.0
v500	v660	2.0
v500	v654	2.0
v500	v653	3.0
v500	v644	2.0
v500	v639	1.0
v500	v616	2.0
v500	v594	2.0
v500	v582	4.0
v500	v575	4.0
v500	v571	1.0
v500	v532	2.0
v500	v529	2.0
v500	v518	3.0
v500	v677	3.0
v500	v674	2.0
v500	v669	2.0
v500	v666	3.0
v500	v657	3.0
v500	v631	3.0
v500	v629	1.0
v500	v544	3.0
v500	v541	1.0
v500	v525	6.0
v500	v522	2.0
v500	v515	2.0
v500	v512	2.0
v500	v508	1.0
v500	v988	2.0
v500	v879	1.0
v500	v706	1.0
v500	v640	1.0
v500	v628	1.0
v500	v626	4.0
v500	v625	3.0
v500	v624	3.0
v500	v620	2.0
v500	v618	2.0
v500	v607	2.0
v500	v601	1.0
v500	v592	2.0
v500	v591	1.0
v500	v588	1.0
v500	v581	2.0
v500	v572	2.0
v500	v570	2.0
v500	v561	3.0
v500	v552	3.0
v500	v548	1.0
v500	v539	2.0
v500	v535	4.0
v500	v506	4.0
v500	v943	1.0
v500	v816	1.0
v500	v675	4.0
v500	v670	1.0
v500	v664	5.0
v500	v627	2.0
v500	v622	2.0
v500	v619	3.0
v500	v612	4.0
v500	v598	1.0
v500	v586	5.0
v500	v585	2.0
v500	v543	5.0
v500	v526	3.0
v500	v519	4.0
v500	v500	16.0
v501	v633	1.0
v501	v549	1.0
v501	v937	1.0
v501	v669	1.0
v501	v657	1.0
v501	v968	1.0
v501	v586	2.0
v501	v996	1.0
v501	v991	1.0
v501	v973	1.0
v501	v946	1.0
v501	v940	1.0
v501	v936	2.0
v501	v928	1.0
v501	v900	1.0
v501	v897	1.0
v501	v892	1.0
v501	v879	1.0
v501	v878	1.0
v501	v868	1.0
v501	v839	1.0
v501	v831	1.0
v501	v829	1.0
v501	v819	1.0
v501	v780	1.0
v501	v775	1.0
v501	v750	1.0
v501	v748	1.0
v501	v712	1.0
v501	v687	1.0
v501	v606	1.0
v501	v545	1.0
v501	v906	1.0
v501	v596	2.0
v501	v565	1.0
v501	v542	1.0
v501	v987	1.0
v501	v787	1.0
v501	v647	2.0
v501	v583	1.0
v501	v581	1.0
v501	v561	2.0
v501	v507	1.0
v501	v913	2.0
v501	v683	1.0
v501	v644	1.0
v501	v632	3.0
v501	v584	3.0
v501	v523	2.0
v501	v998	1.0
v501	v923	2.0
v501	v917	1.0
v501	v914	1.0
v501	v911	1.0
v501	v864	1.0
v501	v851	1.0
v501	v849	1.0
v501	v755	1.0
v501	v797	1.0
v501	v676	1.0
v501	v635	1.0
v501	v634	2.0
v501	v592	2.0
v501	v521	1.0
v501	v999	2.0
v501	v986	1.0
v501	v982	1.0
v501	v978	1.0
v501	v948	2.0
v501	v912	1.0
v501	v907	1.0
v501	v903	1.0
v501	v902	2.0
v501	v895	1.0
v501	v891	1.0
v501	v877	2.0
v501	v871	1.0
v501	v863	1.0
v501	v859	1.0
v501	v798	1.0
v501	v784	1.0
v501	v766	1.0
v501	v765	1.0
v501	v760	1.0
v501	v756	1.0
v501	v754	1.0
v501	v697	3.0
v501	v686	1.0
v501	v680	1.0
v501	v628	2.0
v501	v603	2.0
v501	v600	2.0
v501	v590	1.0
v501	v807	1.0
v501	v631	1.0
v501	v536	3.0
v501	v960	1.0
v501	v695	1.0
v501	v668	2.0
v501	v558	1.0
v501	v510	4.0
v501	v651	3.0
v501	v626	3.0
v501	v530	2.0
v501	v511	1.0
v501	v500	3.0
v501	v834	1.0
v501	v675	1.0
v501	v664	1.0
v501	v637	2.0
v501	v629	4.0
v501	v624	3.0
v501	v621	3.0
v501	v610	3.0
v501	v604	1.0
v501	v579	1.0
v501	v554	1.0
v501	v546	1.0
v501	v541	1.0
v501	v538	2.0
v501	v535	2.0
v501	v532	2.0
v501	v522	4.0
v501	v506	2.0
v501	v949	2.0
v501	v817	1.0
v501	v678	2.0
v501	v660	1.0
v501	v636	4.0
v501	v619	3.0
v501	v568	3.0
v501	v557	3.0
v501	v539	1.0
v501	v533	2.0
v501	v529	3.0
v501	v524	3.0
v501	v514	1.0
v501	v945	1.0
v501	v648	2.0
v501	v641	2.0
v501	v627	3.0
v501	v620	2.0
v501	v618	3.0
v501	v615	2.0
v501	v607	4.0
v501	v574	1.0
v501	v543	3.0
v501	v527	1.0
v501	v830	2.0
v501	v662	3.0
v501	v646	4.0
v501	v645	2.0
v501	v616	2.0
v501	v609	1.0
v501	v573	3.0
v501	v571	2.0
v501	v560	2.0
v501	v508	4.0
v501	v505	2.0
v501	v673	3.0
v501	v667	1.0
v501	v665	2.0
v501	v663	1.0
v501	v656	3.0
v501	v654	4.0
v501	v608	2.0
v501	v602	3.0
v501	v591	3.0
v501	v566	3.0
v501	v526	2.0
v501	v519	3.0
v501	v518	4.0
v501	v513	3.0
v501	v502	2.0
v501	v672	1.0
v501	v658	3.0
v501	v649	4.0
v501	v613	2.0
v501	v601	5.0
v501	v597	1.0
v501	v589	2.0
v501	v576	2.0
v501	v572	2.0
v501	v564	1.0
v501	v552	2.0
v501	v796	1.0
v501	v677	4.0
v501	v674	2.0
v501	v670	2.0
v501	v661	4.0
v501	v652	4.0
v501	v639	4.0
v501	v617	6.0
v501	v614	4.0
v501	v598	3.0
v501	v593	5.0
v501	v585	2.0
v501	v551	2.0
v501	v550	2.0
v501	v544	4.0
v501	v537	2.0
v501	v525	4.0
v501	v516	2.0
v501	v853	2.0
v501	v808	1.0
v501	v659	3.0
v501	v655	4.0
v501	v640	2.0
v501	v575	5.0
v501	v567	3.0
v501	v548	3.0
v501	v512	1.0
v501	v970	2.0
v501	v763	4.0
v501	v650	4.0
v501	v642	4.0
v501	v594	3.0
v501	v580	4.0
v501	v577	2.0
v501	v570	1.0
v501	v569	2.0
v501	v559	2.0
v501	v547	3.0
v501	v540	2.0
v501	v534	2.0
v501	v509	3.0
v501	v681	1.0
v501	v679	3.0
v501	v653	1.0
v501	v643	2.0
v501	v638	2.0
v501	v630	5.0
v501	v623	4.0
v501	v622	4.0
v501	v611	5.0
v501	v599	1.0
v501	v595	4.0
v501	v588	7.0
v501	v587	2.0
v501	v582	3.0
v501	v578	5.0
v501	v556	1.0
v501	v555	3.0
v501	v531	2.0
v501	v517	2.0
v501	v515	3.0
v501	v501	24.0
v502	v632	1.0
v502	v579	1.0
v502	v921	1.0
v502	v861	1.0
v502	v593	1.0
v502	v584	1.0
v502	v562	1.0
v502	v540	1.0
v502	v731	1.0
v502	v683	1.0
v502	v678	1.0
v502	v645	1.0
v502	v623	1.0
v502	v570	1.0
v502	v782	1.0
v502	v676	1.0
v502	v640	1.0
v502	v637	2.0
v502	v603	1.0
v502	v573	1.0
v502	v571	2.0
v502	v564	1.0
v502	v725	1.0
v502	v635	1.0
v502	v598	1.0
v502	v568	2.0
v502	v512	2.0
v502	v852	1.0
v502	v759	1.0
v502	v658	1.0
v502	v634	2.0
v502	v588	2.0
v502	v567	1.0
v502	v559	3.0
v502	v553	1.0
v502	v549	3.0
v502	v530	1.0
v502	v515	2.0
v502	v841	1.0
v502	v609	3.0
v502	v600	1.0
v502	v561	2.0
v502	v557	3.0
v502	v531	1.0
v502	v520	2.0
v502	v945	1.0
v502	v648	1.0
v502	v641	1.0
v502	v622	2.0
v502	v618	1.0
v502	v615	3.0
v502	v607	1.0
v502	v601	3.0
v502	v578	2.0
