dataset,algorithm,vertex_density,edge_density,graph_density,barbers_modularity,run_time,community_size,community_num
bnoc1,abcore,6.933333333333334,3.466666666666667,0.15407407407407409,0.9132991757629761,0.0011451244354248047,90.0,1
bnoc2,abcore,7.6742499194272265,3.8333333333333335,0.1707075705096487,0.9201166266405211,0.0012869834899902344,90.0,1
bnoc3,abcore,3.464101615137755,1.7142857142857142,1.0,0.07100340136054421,0.0009548664093017578,7.0,1
bnoc4,abcore,17.54955834190684,8.774774774774775,0.035134268537074145,0.9961867500538572,0.020123004913330078,999.0,1
bnoc5,abcore,33.12,16.56,0.06624,0.9990883684566735,0.05856680870056152,1000.0,1
bnoc6,abcore,5.696889103233927,2.7890625,0.09090909090909091,0.1313444095259059,0.010927200317382812,128.0,1
bnoc7,abcore,22.483306988016885,11.241448692152918,0.045238866396761133,0.9954433932157635,0.02664494514465332,994.0,1
bnoc1,ktip,6.693280212272604,3.2941176470588234,0.16,0.9776785714285714,0.002474069595336914,85.0,1
bnoc2,ktip,7.472429946297629,3.7282608695652173,0.16279069767441862,0.9820907955018742,0.0029518604278564453,92.0,1
bnoc3,ktip,3.6084391824351614,1.5625,0.5208333333333334,0.9232,0.0010991096496582031,16.0,1
bnoc4,ktip,17.542,8.771,0.035084,0.9967503111024673,0.142808198928833,1000.0,1
bnoc5,ktip,33.12,16.56,0.06624,0.9990883684566735,0.362515926361084,1000.0,1
bnoc6,ktip,4.6200137838738184,1.6582278481012658,0.16293532338308458,0.9531495833576132,0.028512954711914062,79.0,1
bnoc7,ktip,22.541333631384603,11.269969666329626,0.045586912065439675,0.9980319288909587,0.21723008155822754,989.0,1
bnoc1,kwing,1.8778455951964745,0.9166666666666667,0.5979020979020979,0.41944444444444445,0.06604862213134766,13.5,2
bnoc2,kwing,1.9433756729740645,0.9642857142857143,0.5595238095238095,0.4415790517754414,0.10567593574523926,25.5,2
bnoc3,kwing,3.237436867076458,1.5833333333333333,0.8854166666666666,0.3223756300679378,0.0049288272857666016,8.0,3
bnoc4,kwing,1.3395474814394654,0.6343137254901963,0.931781045751634,0.01937363834422657,135.69451904296875,3.3529411764705883,51
bnoc5,kwing,1.0,0.5,1.0,0.0,4879.028168916702,2.0,1
bnoc6,kwing,3.2783555188625857,1.557422969187675,0.9166666666666666,0.1638118740020322,0.8028309345245361,8.333333333333334,6
bnoc7,kwing,1.3462675920525373,0.6573955669224212,0.9016973125884018,0.09123278236914603,1661.400720834732,41.2,10
bnoc1,bitruss,6.752070485447842,3.3733333333333335,0.1801994301994302,0.742713299175763,0.04760599136352539,75.0,1
bnoc2,bitruss,7.604854793164744,3.802197802197802,0.1671497584541063,0.9224667856434662,0.04410099983215332,91.0,1
bnoc3,bitruss,3.4718636667731935,1.698717948717949,0.7425595238095237,0.10616260393046106,0.011592864990234375,10.333333333333334,3
bnoc4,bitruss,17.54955834190684,8.774774774774775,0.035134268537074145,0.9961867500538572,23.546414852142334,999.0,1
bnoc5,bitruss,33.12,16.56,0.06624,0.9990883684566735,80.79080820083618,1000.0,1
bnoc6,bitruss,3.2783555188625857,1.557422969187675,0.9166666666666666,0.005107524277133259,1.8529269695281982,8.333333333333334,6
bnoc7,bitruss,22.70793726773768,11.353671147880041,0.046966974674880216,0.9781428332136682,20.316876888275146,967.0,1
bnoc1,LPAb,1.4507799593702329,0.7119791666666668,0.9852430555555556,0.0072535642682111795,7.339393138885498,3.03125,32
bnoc2,LPAb,1.7813348754756133,0.8796245421245419,0.9660790598290597,0.01028872494270075,15.190104246139526,3.8076923076923075,26
bnoc3,LPAb,1.351675496635683,0.6647907647907648,0.9941077441077442,0.012907562014704861,2.9857966899871826,2.787878787878788,33
bnoc1,LPAb_Plus,2.1445901661293516,1.048465260229966,0.873202614379085,0.024287342916672117,0.09623384475708008,5.882352941176471,17
bnoc2,LPAb_Plus,2.329673206536407,1.1527116402116402,0.8945987654320988,0.020557363056316506,0.11387014389038086,5.555555555555555,18
bnoc3,LPAb_Plus,1.8252641694423017,0.8948721913007628,0.9113756613756614,0.028130398984990812,0.07516098022460938,4.380952380952381,21
bnoc4,LPAb_Plus,15.890402256632948,7.9433592771806,0.09534871179149318,0.3020365847982942,2.901369094848633,333.3333333333333,3
bnoc5,LPAb_Plus,29.87614399130713,14.937158554227926,0.17931809539018173,0.30092514070728993,2.8540380001068115,333.3333333333333,3
bnoc6,LPAb_Plus,1.7612576628131558,0.8490363135237602,0.926704979411569,0.0014707849979672131,121.66067886352539,4.175732217573222,239
bnoc7,LPAb_Plus,8.619358329496736,4.305858450976078,0.24893256995594382,0.048991033565959456,5.345624923706055,111.11111111111111,9
american_revolution,abcore,4.411706913966163,1.7916666666666667,0.45263157894736844,0.2650390625,0.0012660026550292969,24.0,1
american_revolution,ktip,6.222552901265966,1.1547619047619047,0.3991769547325103,0.9741736635136571,0.0007512569427490234,84.0,1
american_revolution,kwing,2.400396792595916,1.1,0.5238095238095238,0.8264462809917356,0.0049571990966796875,10.0,1
american_revolution,bitruss,4.643716460347527,1.8125,0.7435897435897436,0.1797265625,0.010847091674804688,16.0,1
american_revolution,LPAb,4.136532632920958,0.9404863763687293,1.0,0.1093125,5.518028020858765,18.6,5
american_revolution,LPAb_Plus,4.983726573299368,0.9504979203802731,1.0,0.16893750000000002,0.018212318420410156,28.2,5
